xbobbbobx,o
xbbobbobx,o
xbbbobobx,o
xbbbboobx,o
xobbbbbox,o
xbobbbbox,o
xbbobbbox,o
xbbbobbox,o
xbbbbobox,o
xbbbbboox,o
oxobbbbbx,o
oxbobbbbx,o
bxoobbbbx,o
oxbbobbbx,o
bxobobbbx,o
bxboobbbx,o
oxbbbobbx,o
bxobbobbx,o
bxbobobbx,o
bxbboobbx,o
oxbbbbobx,o
bxobbbobx,o
bxbobbobx,o
bxbbobobx,o
bxbbboobx,o
oxbbbbbox,d
bxobbbbox,d
bxbobbbox,d
bxbbobbox,d
bxbbbobox,d
bxbbbboox,d
ooxbbbbbx,x
obxobbbbx,o
boxobbbbx,x
obxbobbbx,d
boxbobbbx,o
bbxoobbbx,o
obxbbobbx,o
boxbbobbx,o
bbxobobbx,o
bbxboobbx,o
obxbbbobx,o
boxbbbobx,d
bbxobbobx,o
bbxbobobx,d
bbxbboobx,o
obxbbbbox,d
boxbbbbox,o
bbxobbbox,x
bbxbobbox,o
bbxbbobox,o
bbxbbboox,x
oobxbbbbx,o
oboxbbbbx,o
booxbbbbx,o
obbxobbbx,o
bobxobbbx,o
bboxobbbx,o
obbxbobbx,d
bobxbobbx,d
bboxbobbx,d
bbbxoobbx,d
obbxbbobx,o
bobxbbobx,o
bboxbbobx,o
bbbxobobx,o
bbbxboobx,d
obbxbbbox,o
bobxbbbox,o
bboxbbbox,o
bbbxobbox,o
bbbxbobox,d
bbbxbboox,o
oobbxbbbx,o
obobxbbbx,o
boobxbbbx,o
obboxbbbx,o
boboxbbbx,o
bbooxbbbx,o
obbbxobbx,d
bobbxobbx,d
bbobxobbx,d
bbboxobbx,x
obbbxbobx,o
bobbxbobx,o
bbobxbobx,o
bbboxbobx,o
bbbbxoobx,d
obbbxbbox,d
bobbxbbox,x
bbobxbbox,d
bbboxbbox,d
bbbbxobox,d
bbbbxboox,d
oobbbxbbx,o
obobbxbbx,o
boobbxbbx,o
obbobxbbx,o
bobobxbbx,o
bboobxbbx,o
obbboxbbx,o
bobboxbbx,o
bboboxbbx,o
bbbooxbbx,d
obbbbxobx,o
bobbbxobx,o
bbobbxobx,o
bbbobxobx,o
bbbboxobx,o
obbbbxbox,o
bobbbxbox,o
bbobbxbox,o
bbbobxbox,o
bbbboxbox,o
bbbbbxoox,x
oobbbbxbx,o
obobbbxbx,o
boobbbxbx,o
obbobbxbx,x
bobobbxbx,x
bboobbxbx,d
obbbobxbx,d
bobbobxbx,o
bbobobxbx,d
bbboobxbx,o
obbbboxbx,d
bobbboxbx,x
bbobboxbx,x
bbboboxbx,o
bbbbooxbx,o
obbbbbxox,o
bobbbbxox,o
bbobbbxox,o
bbbobbxox,o
bbbbobxox,o
bbbbboxox,o
oobbbbbxx,o
obobbbbxx,o
boobbbbxx,o
obbobbbxx,o
bobobbbxx,o
bboobbbxx,o
obbbobbxx,o
bobbobbxx,d
bbobobbxx,o
bbboobbxx,o
obbbbobxx,o
bobbbobxx,o
bbobbobxx,x
bbbobobxx,o
bbbboobxx,o
obbbbboxx,o
bobbbboxx,o
bbobbboxx,o
bbbobboxx,o
bbbboboxx,o
bbbbbooxx,o
xxooobbbb,o
xxoobobbb,o
xxoboobbb,o
xxbooobbb,o
xxoobbobb,x
xxobobobb,o
xxboobobb,x
xxobboobb,o
xxboboobb,x
xxbbooobb,x
xxoobbbob,o
xxobobbob,d
xxboobbob,x
xxobbobob,o
xxbobobob,x
xxbboobob,x
xxobbboob,o
xxbobboob,x
xxbboboob,x
xxbbbooob,x
xxoobbbbo,o
xxobobbbo,o
xxboobbbo,x
xxobbobbo,o
xxbobobbo,x
xxbboobbo,x
xxobbbobo,o
xxbobbobo,x
xxbbobobo,x
xxbbboobo,x
xxobbbboo,o
xxbobbboo,x
xxbbobboo,x
xxbbboboo,x
xxbbbbooo,o
xoxoobbbb,o
xoxobobbb,x
xoxboobbb,o
xbxooobbb,o
xoxobbobb,x
xoxbobobb,d
xbxoobobb,x
xoxbboobb,d
xbxoboobb,x
xbxbooobb,x
xoxobbbob,x
xoxbobbob,o
xbxoobbob,x
xoxbbobob,x
xbxobobob,x
xbxboobob,x
xoxbbboob,o
xbxobboob,x
xbxboboob,x
xbxbbooob,x
xoxobbbbo,d
xoxbobbbo,d
xbxoobbbo,x
xoxbbobbo,x
xbxobobbo,x
xbxboobbo,x
xoxbbbobo,d
xbxobbobo,x
xbxbobobo,x
xbxbboobo,x
xoxbbbboo,o
xbxobbboo,x
xbxbobboo,x
xbxbboboo,x
xbxbbbooo,o
